date,rating,review
2021-10-30,5,place heaven chai lover great breakfast friendly staff must stop place hoboken
2021-10-06,5,one best pumpkin chai latte love many chai flavor definitely back try donut also looked amazing glad support woman owned business interior decor photogenic well
2021-09-18,4,great place breakfast coffee offer traditional well innovative food drink option lavender cold brew interesting one tried lavender ice cream n't care surprisingly lavender coffee worked pretty well hint lavender floral scent complemented coffee flavor sandwich pretty standard pesto sauce sourdough pungent good way along onion n't get plan kiss anyone day lol sourdough texture bit tougher would like though
2021-08-03,5,omg sooo goodperfect toastcrispy baconfresh avocadolightly seasoned cream cheese 9 justified
2021-07-27,4,family tried place together recently fell love cute trendy vibe inside greenery wall light letter probably enough room set like 20 30 people say surprising look pretty small outside sell locally made art goody like card coaster chai bag coffee planner etc place used called simply chai kept item menu believe maybe ran day went heard rose chai really good n't get time back try got picnic table inside match greenery limited door seating well 4 table exact perfect place meet someone grab bite coffee ended sitting like 2 hour lol one said anything u bothered u lot people coming dog sitting inside well dog owner really love place sure bring dog next time service also super nice gave recommendation order tell whats popular may like based sweet like coffee take minute make drink make perfectly like 4 5 dollar coffee think pretty standard area way bigger average starbucks coffee got new orleans cold brew sweeter end like coffee semi-sweet without sweet like coffee bitter would n't choose loved however back get milky without heavy gave perfect amount caffeine start morning aunt got traditional cold brew enjoyed much special course little customizable add sugar creamer etc boyfriend got sweet caramel think sweetest drink ordered sweet oh bag masala chai sell oh goodness amazing grab one way never tried love chai also got bagel cream cheese ok kind disappointment jersey bagel flat dense delicious craving advice would get something else definitely back 10 10 recommend trying
2021-07-02,5,first time owner made feel welcomed plus black coffee beat dunkin starbucks um yea get get coffee life together
2021-06-25,5,year later still loving spot recently never sampled much food coffee really silly got pastry incredible smoked salmon sandwich already daydreaming another lunch smoked salmon sandwich hefty talking lot salmon avocado cream cheese fresh basil tomato really delicious grilled sourdough bread loveddddd came bag potato chip n't know much wanted feeling peckish also took home pastry staring case little heart shaped rose lemon donut spinach pie rose lemon donut stole show dense sweet perfect coffee next day spinach pastry tasty nothing compared everything else tried hidden ground along delicious food also got iced tea n't favorite may sort hibiscus tea n't feeling still refreshing hot day wonderful thing shop dog friendly plenty space sell little plant chotchkies front indoor outdoor seating great coffee
2021-06-08,5,eduarea register super sweet helping decide order recommendation great really know product got bacon egg cheese everything bagel got sweet caramel cold brew coffee iced almond milk overall amazing put honey siracha side try bagel since pretty unsure like good also free wifi environment pretty chill loud either great place get work done def returning great customer service
2021-05-27,5,ordered latte bold smooth made perfectly donut adorable really bring back jackson height one bite wish lived neighborhood would everyday def try lemon rose donut
2021-05-20,1,order place n't fulfill order specification ordered bacon egg cheese croissant added avocado received everything except bacon called also offered send photo inability job effectively woman answered phone told contact ubereats sent back message noted complaint n't need contact short want messed order responsibility taken place order
2021-04-30,5,super cute friendly staff clean closest thing authentic chai made pot stove stirred strained whisked donut cute yummy reminded madeline cookie definitely recommend
2021-04-28,2,love location hoboken jersey city unfortunately location fall short actually really make really sad write one walked ask question phone rang asked could wait take phone order first fine worry failed order turn asked taro caffeine said decided try oat milk use coupon voucher said n't know would call manager asked would take long double parked bit rush problem come back said pay anything give back money cash owed voucher call manager make drink say use another time well came way get expires soon told 30seconds ago rush left looked taro caffeine free trusting told even enjoy 6 beverage purchased return location although friendly enough please give customer false information
2021-03-29,4,wanting try place n't go hoboken much big fan honestly guess good place located city suck covid ruined indoor experience service great wanting try indian flavored doughnut rose chais happy rose chai delicious friend ordered ginger cardamom chai tasted good took time prepare pretty legit heated doughnut nice touch lady gave u free doughnut one doughnut ordered wrong one since close decided treat u one nice ate way lol
2021-03-22,4,came across place back instagram caught eye immediately also used called simply chai look like went name change 8pm sunday area knew donut n't going freshest figured stop since area got 3 donut gulab jamun donut 4 rose lemon donut 4 ra malai donut 4 definitely pricier end donut expected unique gulab jamun donut would expect gulab jamun really get essence cardamom saffron ra malai donut definitely felt heavier probably due butter fresh cream used also topped pistachio almond rose lemon donut rooh afza based donut give rose flavor also topped pistachio main complaint donut cold took bite knew n't going enjoy like took home microwaved enhanced taste lot donut also super soft like would expect donut cake consistency shape donut overall enjoy indian dessert donut right ally personally one time thing bit disappointed n't fresh reminded cake donut aside good try
2021-03-14,5,wanting try spot awhile glad experience hoboken location ordered indian filter coffee mediterranean grilled cheese delicious spicy mayo added great kick unique twist grilled cheese wish cheese bit melted sandwich came side chip plus go took one donut rose lemon gulab jamun rasmalia wow donut unique incorporate flavorful taste traditional indian cuisine favorite three rose lemon service exceptional well everyone friendly attitude
2021-02-06,3,really sad even write review loveee hidden ground getting bagel coffee pastry salmon bagel sandwich disappointing morning looking forward yummy bagel sandwich weekend instead met thinnest amount cream cheese 1 side sandwich could barely taste cream cheese eating also salmon measly thin slice maybe looked photo item menu amount cream cheese salmon kinda laughable honestly please add ingredient sandwich nonetheless coffee pastry always delicious
2021-02-04,4,came back october still simply chai donut looked soooo good photo travel hour get fix gulab jamun ra malai many indian inspired donut excellent however bombay sandwich world would travel found rose latte overly sweet photo worthy sandwich took extremely long get maybe close 40 minute even though n't seem busy bit annoying since cold day waiting outside long time interior beautifully decorated cozy come donut sandwich skip latte
2021-02-02,5,best white chocolate drink super welcoming fast top ig game cool seen many restaurant coffee shop book open customer write way vulnerable stranger never meet love see much
2021-01-18,5,looking amazing coffee option bagel toast option spot safety prosecutor hit regulation indoor dining moment sadly due covid beautiful location cozy decoration recommend coffee related decoration provide chair table outside staff top order control rush typically common cafe female barista made husband feel welcomed safe ask question customize order spilling latte nice made new one cleaned place u insured okay amazing costumer service house coffee rosebud amazing bright flavor obsessed honey bee latte looking nice sweetened spice taste lavender honey lovely looking sweet blend latte term food enjoy fact frozen food make spot enjoyed option plain everything sesame seed bagel kaiser roll amazing option prefer wait 2 min get bagel knowing made fresh spot getting fast food n't good body n't know came
2021-01-10,2,quite conflicting review post loved simply chai sandwich amazing falooda chai however recently changed menu disappointment speak chai drink since might business owner fix broken previous menu good really good received today seems like shoddy version makeshift sandwich nothing filling store bought chutney sauce place potential today quite disappointing highlight previous good dish falooda amazing sandwich ala recently
2021-01-05,4,amazing open covid ambiance pretty chill homey atmosphere initially skeptical gulab jamun ra malai donut like even go together absolutely loved fusion moist cake-y donut n't feel sweet either bundt cake cute well though n't huge fan ra malai tea freshly made get magic masala others ginger tea cardamom tea tried
2021-01-02,4,place great service really good food reason give 4 star recently switched sourdough bread naan bread sandwich n't best medium type sandwich offered wish would provide option choose type bread
2021-01-02,1,originally given place 4 star revising 1 place completely fallen major quality issue served waffle worse staff ca n't get right go order avacados added wrong sandwich box mislabeled called complain excuse sorry busy buy supporting establishment hard time literally 4th time sort issue one pick order sure volume issue sometimes honest wait next great establishment open shop
