name,topics
7-stars-pizzeria|visiting,tot,limited,wine,hungry,matter,barely,rather,easily
80-river-bar-kitchen|enjoy,since,protein,seated,ca,said,perfect,even,next
8th-street-tavern|extremely,overcooked,husband,try,yes,love,full,sausage,disappointed
acai-ya-later|fall,undercooked,syrup,shocked,absolutely,code,least,honey,smaller,specialty,finger,future,lose,matter,pleasantly,north,fall,buttery
acme-markets|immediately,4th,tabouleh,drinking,body,dancing,bonito,man,frank
alessio-s-cafe-gelato-pizza|ok,might,black,kept,joint,ask,world,snack,salt
ali-baba-restaurant|twice,note,expecting,case,word,indoors,combination,art,churrasco
amanda-bananas|crowd,portion,come,min,old,experience,flavor,croissant,server,dog,totally,store,honestly,cheap,heard,gave,classic,long
amanda-s|pleaser,passed,wound,quote,chose,applied,overwhelmingly,1pm,feed
anthony-david-s|bartender,get,taste,one,better,could,pepper,cheese,menu
apulia|twice,note,expecting,case,word,indoors,combination,art,churrasco,parent,please,inn,general,window,ate,encanta,display,chunk
arthur-s-hoboken|margarita,ribeye,half,line,extra,tv,grilled,choose,rib
asia-sushi-chinese|must,dino,canai,lady,keep,soul,item,bite,soon
augustino-s|glass,amount,shaka,done,everything,free,enough,clean,looking
ayame-hibachi-sushi|absolute,relatively,brand,buck,frank,popular,molto,soda,month
baja|frequently,cobbler,chopstick,greeting,blown,design,smelly,tough,lived
bangkok-city-thai|review,mine,dollar,industry,traditional,cup,steamed,elysian,alla
barbes|enjoy,since,protein,seated,ca,said,perfect,even,next
bareburger|lot,decent,nice,made,home,lot,well,cream,meat
belo-bar|celebration,rather,nut,dirty,changed,cramped,honestly,prepared,smoked,believe,container,smooth,security,service,section,competition,kid,fell
ben-jerrys|jack,reheated,parsley,cell,oreo,closed,quesadillix,bummed,unusual
benny-tudino-s|tricky,slap,weighed,headache,chewier,sucked,suspicious,cashier,closed
bk-lobster-hoboken|super,brisket,delivery,bill,something,find,review,cold,started
black-rail-coffee|rap,palm,addicting,advise,folded,witnessed,fin,ideal,read,recently,add,oil,send,left,fan,gigi,keep,filled
blue-eyes-restaurant|ability,control,till,buying,skill,gon,cafeteria,peaceful,loaded,ideal,thinly,skip,police,trouble,liquor,plentiful,cost,arrabiata
bluestone-lane-hoboken-cafe|michael,sprout,tangy,surprise,watched,machine,limited,beet,near
bwe-kafe|spelled,returned,feng,hoped,entrance,complex,korea,barely,city
cafe-michelina|enough,around,sure,felt,work,needed,back,still,gnocchi,town,regular,container,bring,came,liked,far,muffin,bite
cafe-vista|anything,fatty,kung,showed,three,le,messy,slow,recommendation
carlo-s-bakery|breeze,21,biggest,welcomed,ol,sad,parked,dd,ready
carpe-diem|occasion,needed,tapioca,receipt,okay,allowed,closed,greek,thin
chango-kitchen|street,hot,star,many,another,wearing,two,next,another,tonight,certainly,sadly,disrespectful,completely,eaten,fat,heart,available
charrito-s-midtown|glass,amount,shaka,done,everything,free,enough,clean,looking
chicken-factory|dance,husband,however,believe,hope,unfortunately,tough,unlimited,forward
chipotle-mexican-grill|might,la,warm,expected,chicken,simply,vindaloo,09,ice
choc-o-pain-french-bakery-and-cafe|fair,drowned,walking,step,lunch,setting,exact,gelato,suggest
city-bistro|town,regular,container,bring,came,liked,far,muffin,bite,2000s,yasuda,foggy,curve,loving,triple,becomes,instagrammable,explore
cork-city-pub|booked,vinegar,replaced,happening,cooked,poorly,familiar,moving,care
court-street|overlooking,lost,layer,hospitality,including,yikes,country,awhile,supposed
cucina-saporito|date,taste,vegan,call,lot,seemed,ever,cup,experience,calmer,yall,wet,bummed,gladly,ignore,feb,overlooking,feedback
curry-up-now|entree,edamame,top,location,hour,hear,pick,found,although,outdoor,bbq,beef,horrible,give,went,amazing,right,parm
d-s-soul-full-cafe|left,spare,sometimes,burnt,gooey,capacity,pricey,traditional,satisfied
del-frisco-s-grille|ability,control,till,buying,skill,gon,cafeteria,peaceful,loaded
delite-liquor-store|craft,kind,mixed,end,nyc,sunday,long,today,water
dining-room-at-anthony-david-s|back,really,ordered,ordered,cheese,really,fresh,get,came
dino-harry-s-steak-house|expect,smoked,cup,pretty,everyone,gave,feel,everyone,incredible
dom-s-bakery-grand|meal,10,butter,least,town,covid,en,pancake,taste
dozzino|pier,kinda,chain,based,insomnia,allow,perfectly,sugar,con,fast,oily,double,post,beyond,list,friend,caffeine,intimate
dunkin|greeted,weak,bought,plenty,dom,dine,pig,fill,19
east-la|soon,seemed,chocolate,different,without,tried,quickly,yet,dip,cool,give,hoboken,ever,love,front,portion,avocado,vodka
eco-hoboken|really,lunch,sauce,customer,bakery,get,ordered,little,meal
elysian-cafe|cute,overpriced,thought,look,trip,wo,last,hash,said,watch,lot,give,meal,always,ok,give,line,grilled
empanadas-cafe|bang,batman,charging,dead,flavoring,exchange,riot,energy,passion
empyrean-indian-kitchen-bar|pretty,fresh,tried,waitress,also,around,try,seating,try
finnegan-s-pub|usual,odd,13,throw,pier,smaller,leftover,bombay,zucchini
fiore-s-house-of-quality|top,crab,though,issue,away,made,parm,fry,olive
flatbread-grill|wing,steakhouse,frozen,put,great,dog,cheesesteak,bloody,recommend
gfg-cafe-cuisine|best,service,broth,staff,worth,group,little,benedict,loved
gogi-grill|relax,honest,health,piece,husband,split,bonchon,incredibly,everyone
grand-vin|much,worth,new,better,next,large,cutlet,stop,clam,spilling,wandering,ohhhhhh,jc,reevaluate,downside,ver,hopping,eww
greektown|buzz,belly,replace,shady,min,patio,whether,growing,17
green-garden|highly,deal,honey,open,bought,crowd,might,baked,creamy
